iso_time,window_id,checkpoint_s,secs_left,price,strike,cushion,favorite,fav_has_book,fav_best_ask,fav_spread,fav_depth,loser_best_ask,loser_depth,our_p_win,our_edge,fillable_edge
2026-06-17T15:29:45Z,1781709900,15,14.6,65270.44,65313.31,-42.87,DOWN,True,0.98,0.01,1207.2,0.03,221.2,0.9966,0.0166,False
iso_time,window_id,checkpoint_s,secs_left,price,strike,cushion,favorite,fav_has_book,fav_best_ask,fav_spread,fav_depth,loser_best_ask,loser_depth,our_p_win,our_edge,fillable_edge
2026-06-17T13:03:00Z,1781701200,120,119.9,64977.09,64992.06,-14.97,DOWN,True,0.6,0.01,236.9,0.41,1080.8,0.6965,0.0965,True
2026-06-17T13:03:30Z,1781701200,90,89.6,64970.98,64992.06,-21.08,DOWN,True,0.7,0.01,375.0,0.31,18.9,0.7977,0.0977,True
2026-06-17T13:04:00Z,1781701200,60,59.6,64952.0,64992.06,-40.06,DOWN,True,0.97,0.01,990.8,0.04,1545.3,0.9921,0.0221,False
2026-06-17T13:04:30Z,1781701200,30,29.6,64947.91,64992.06,-44.15,DOWN,True,0.99,0.01,6814.5,0.02,390.4,0.9999,0.0099,False
2026-06-17T13:04:45Z,1781701200,15,14.8,64968.37,64992.06,-23.69,DOWN,True,0.71,0.01,155.0,0.3,213.5,0.9693,0.2593,True
2026-06-17T13:08:00Z,1781701500,120,119.6,64963.91,64964.56,-0.65,DOWN,True,0.54,0.01,148.0,0.47,892.4,0.5045,-0.0355,False
2026-06-17T13:08:30Z,1781701500,90,90.0,64949.26,64964.56,-15.3,DOWN,True,0.75,0.01,174.7,0.26,734.5,0.6432,-0.1068,False
2026-06-17T13:09:00Z,1781701500,60,59.9,64942.36,64964.56,-22.2,DOWN,True,0.77,0.01,69.8,0.24,497.1,0.9065,0.1365,True
2026-06-17T13:09:30Z,1781701500,30,29.8,64937.17,64964.56,-27.38,DOWN,True,0.93,0.01,11.2,0.08,52.0,0.997,0.067,True
2026-06-17T13:09:45Z,1781701500,15,14.9,64940.8,64964.56,-23.76,DOWN,True,0.95,0.01,207.1,0.06,196.5,1.0,0.05,True
2026-06-17T13:13:00Z,1781701800,120,120.0,64987.31,64941.07,46.23,UP,True,0.94,0.01,138.0,0.07,748.8,1.0,0.06,True
2026-06-17T13:13:30Z,1781701800,90,89.8,65006.74,64941.07,65.67,UP,True,0.98,0.01,1023.6,0.04,462.6,0.9791,-0.0009,False
2026-06-17T13:14:00Z,1781701800,60,59.7,65037.14,64941.07,96.06,UP,False,,,0.0,0.01,13259.9,0.9994,,False
2026-06-17T13:14:30Z,1781701800,30,29.6,65032.75,64941.07,91.68,UP,False,,,0.0,0.01,27936.4,1.0,,False
2026-06-17T13:14:45Z,1781701800,15,14.7,65018.77,64941.07,77.7,UP,False,,,0.0,0.01,35334.2,1.0,,False
2026-06-17T13:18:00Z,1781702100,120,119.9,64988.88,65026.36,-37.48,DOWN,True,0.87,0.01,294.4,0.14,422.3,0.9679,0.0979,True
2026-06-17T13:18:30Z,1781702100,90,89.7,65013.13,65026.36,-13.23,DOWN,True,0.7,0.01,289.8,0.31,339.8,0.6178,-0.0822,False
2026-06-17T13:19:00Z,1781702100,60,59.7,65013.17,65026.36,-13.19,DOWN,True,0.74,0.01,889.1,0.27,236.6,0.6442,-0.0958,False
2026-06-17T13:19:30Z,1781702100,30,30.0,65001.97,65026.36,-24.39,DOWN,True,0.94,0.01,187.8,0.07,73.8,0.9995,0.0595,True
2026-06-17T13:19:45Z,1781702100,15,14.6,65002.73,65026.36,-23.63,DOWN,True,0.97,0.01,34.6,0.03,78.0,1.0,0.03,False
2026-06-17T13:23:00Z,1781702400,120,119.6,64927.14,64997.06,-69.93,DOWN,True,0.96,0.01,449.4,0.05,659.4,0.9044,-0.0556,False
2026-06-17T13:23:30Z,1781702400,90,89.5,64897.85,64997.06,-99.21,DOWN,True,0.99,0.01,823.8,0.02,1835.9,1.0,0.01,False
2026-06-17T13:24:00Z,1781702400,60,59.9,64868.59,64997.06,-128.47,DOWN,False,,,0.0,0.01,18348.0,0.9994,,False
2026-06-17T13:24:30Z,1781702400,30,29.8,64850.22,64997.06,-146.84,DOWN,False,,,0.0,0.01,37782.8,1.0,,False
2026-06-17T13:24:45Z,1781702400,15,14.8,64843.55,64997.06,-153.51,DOWN,False,,,0.0,0.01,43887.8,1.0,,False
2026-06-17T13:28:00Z,1781702700,120,119.8,64854.19,64849.93,4.27,UP,True,0.62,0.01,59.2,0.39,306.7,0.5942,-0.0258,False
2026-06-17T13:28:30Z,1781702700,90,89.8,64842.34,64849.93,-7.59,DOWN,True,0.62,0.01,6.2,0.39,30.0,0.6076,-0.0124,False
